Lopes,1,0,Médio,
Jesus Crespo,1,0,Médio,
José Maria Gralha,1,0,Médio,
José Reis,1,0,Guarda-redes,
Casoto,1,0,Guarda-redes,
Octávio Cambalacho,1,1,Universal,
Paulinho,1,0,Médio,
Manuel Rodrigues,1,0,Avançado,
Poca,1,0,Universal,
Américo Silva,1,0,Médio,
Yannick,1,0,Avançado,
Skoda,1,0,Avançado,
Taira,1,0,Defesa,
Djão,1,0,Avançado,
Helio Sousa,1,0,Médio,
Luis Carlos,1,0,Médio,
Pedro Martins,1,0,Médio,
Barroso,1,0,Médio,
Paulo Santos,1,0,Guarda-redes,
Hilário,1,0,Guarda-redes,
Mário Silva,1,0,Defesa,
Delfim,1,0,Defesa,
Zé Castro,1,0,Defesa,
Cabral,1,0,Defesa,
João Manuel Pinto,1,0,Defesa,
Tiago Gomes,1,0,Defesa,
Hélder Barbosa,1,0,Avançado,
Pedro Mendes,1,0,Defesa,
Ukra,1,0,Avançado,
Orlando Sá,1,0,Avançado,
Marafona,1,0,Guarda-redes,
André Pinto,1,0,Defesa,
Daniel Carriço,1,0,Defesa,
Edgar,1,0,Avançado,
César Peixoto,1,0,Médio,
Bruno Vale,1,0,Guarda-redes,
Moreira,1,0,Guarda-redes,
Jorge Silva,1,0,Avançado,
José Carlos,1,0,Defesa,
Juanico,1,0,Médio,
Laureta,1,0,Médio,
Artur,1,0,Defesa,
Galo,1,0,Médio,
Toni,1,0,Médio,
Freire,1,0,Avançado,
Amilcar,1,0,Defesa,
Paulo Rocha,1,0,Médio,
Valter,1,0,Médio,
Nogueira,1,1,Médio,
Jacques,1,0,Avançado,
António Mendes,1,0,Médio,
Vital,1,1,Avançado,
Godinho,1,0,Avançado,
Folha,1,0,Avançado,
Lúcio,1,0,Guarda-redes,
Jorge Silva,1,0,Guarda-redes,
Neves,1,0,Defesa,
Paiva,1,0,Médio,
Fonseca,1,0,Guarda-redes,
Hugo Leal,1,0,Médio,
Tó-zé,1,0,Avançado,
Gonçalves,1,0,Avançado,
Óscar,1,0,Médio,
Joaquim Teixeira,1,0,Avançado,
Paris,1,0,Médio,
Ricardo Ferreira,1,0,Defesa,
Diogo Costa,1,0,Guarda-redes,Porto
Edgar Ié,1,0,Defesa,
Aparício,1,0,Defesa,
Arnaldo,1,0,Avançado,
Pedrosa,0,0,Defesa,
Gonçalo Inácio,0,0,Defesa,Sporting
Manuel da Costa,0,0,Defesa,
Julio,0,0,Avançado,
Carlos Jorge,0,0,Defesa,
Rui Aguas,0,0,Universal,
Kenedy,0,0,Defesa,
Matos,0,0,Guarda-redes,
Pires,0,0,Médio,
Fidalgo,0,0,Guarda-redes,
Delgado,0,0,Guarda-redes,
Helder,0,0,Guarda-redes,
Jorge Martins,0,0,Guarda-redes,
Paquito,0,0,Médio,
Crisanto,0,0,Médio,
Bandeirinha,0,0,Médio,
Mário Sérgio,0,0,Defesa,
Pedro Tiba,0,0,Médio,
Ruben,0,0,Defesa,
Castro,0,0,Médio,
Bruno Gama,0,0,Médio,
Tiago Pinto,0,0,Defesa,
Ventura,0,0,Guarda-redes,
Nuno André Coelho,0,0,Defesa,
Ednilson,0,0,Médio,
Nuno,0,0,Guarda-redes,
Tiago,0,0,Médio,
José António,0,0,Médio,
Kiki,0,0,Defesa,
Ricardo Silva,0,0,Defesa,
Garrido,0,0,Médio,
Ferro,0,0,Defesa,
Melo,0,0,Guarda-redes,
Rúben Vezo,0,0,Defesa,
Chico Gordo,0,0,Universal,
José Sá,0,0,Guarda-redes,Wolverhampton
Lourenço,0,0,Avançado,
Bruno Varela,0,0,Guarda-redes,
Sequeira,0,0,Defesa,
Ivo Pinto,0,0,Defesa,
Rui Fonte,0,0,Avançado,
